"plot_ID","e_ID","inv_year","CCS_r_m","inter_stat","area_m2","stand"
10003,1,2012,17.84,"partly intersecting",499.15249629519,"B"
10003,0,2012,17.84,"0",500.251574618866,"A"
10003,1,2012,12.62,"partly intersecting",249.668897692407,"B"
10003,0,2012,12.62,"0",250.446382475115,"A"
10003,1,2012,5.64,"partly intersecting",49.7698452966376,"B"
10003,0,2012,5.64,"0",50.1173047256951,"A"
10005,1,2012,17.84,"partly intersecting",499.679649508825,"B"
10005,0,2012,17.84,"0",499.724421405231,"A"
10005,1,2012,12.62,"partly intersecting",250.04180428408,"B"
10005,0,2012,12.62,"0",250.073475883443,"A"
10005,1,2012,5.64,"partly intersecting",49.9364978392009,"B"
10005,0,2012,5.64,"0",49.9506521831318,"A"
10013,1,2012,17.84,"partly intersecting",499.008440149899,"B"
10013,0,2012,17.84,"0",500.395630764157,"A"
10013,1,2012,12.62,"partly intersecting",249.566991385557,"B"
10013,0,2012,12.62,"0",250.548288781965,"A"
10013,1,2012,5.64,"partly intersecting",49.7242993647422,"B"
10013,0,2012,5.64,"0",50.1628506575905,"A"
10014,1,2012,17.84,"partly intersecting",499.292164402387,"B"
10014,0,2012,17.84,"0",500.111906511669,"A"
10014,1,2012,12.62,"partly intersecting",249.767697667306,"B"
10014,0,2012,12.62,"0",250.347582500217,"A"
10014,1,2012,5.64,"partly intersecting",49.8139969423226,"B"
10014,0,2012,5.64,"0",50.0731530800102,"A"
10022,1,2012,17.84,"partly intersecting",211.591446768235,"B"
10022,0,2012,17.84,"0",787.812624145821,"A"
10022,1,2012,12.62,"partly intersecting",104.747890662577,"B"
10022,0,2012,12.62,"0",395.367389504945,"A"
10022,1,2012,5.64,"partly intersecting",19.9733098374512,"B"
10022,0,2012,5.64,"0",79.9138401848815,"A"
10024,1,2012,17.84,"partly intersecting",499.408682540689,"B"
10024,0,2012,17.84,"0",499.995388373367,"A"
10024,1,2012,12.62,"partly intersecting",249.85012249384,"B"
10024,0,2012,12.62,"0",250.265157673682,"A"
10024,1,2012,5.64,"partly intersecting",49.8508333941175,"B"
10024,0,2012,5.64,"0",50.0363166282153,"A"
10033,1,2012,17.84,"partly intersecting",499.46011935914,"B"
10033,0,2012,17.84,"0",499.943951554916,"A"
10033,1,2012,12.62,"partly intersecting",249.88650885308,"B"
10033,0,2012,12.62,"0",250.228771314442,"A"
10033,1,2012,5.64,"partly intersecting",49.867094809816,"B"
10033,0,2012,5.64,"0",50.0200552125167,"A"
30009,1,2011,17.84,"partly intersecting",498.988611181298,"B"
30009,0,2011,17.84,"0",500.415459732758,"A"
30009,1,2011,12.62,"partly intersecting",249.552964390952,"B"
30009,0,2011,12.62,"0",250.56231577657,"A"
30009,1,2011,5.64,"partly intersecting",49.7180305652516,"B"
30009,0,2011,5.64,"0",50.1691194570811,"A"
30016,1,2011,17.84,"partly intersecting",499.557250868107,"B"
30016,0,2011,17.84,"0",499.846820045949,"A"
30016,1,2011,12.62,"partly intersecting",249.95521959541,"B"
30016,0,2011,12.62,"0",250.160060572112,"A"
30016,1,2011,5.64,"partly intersecting",49.8978023048034,"B"
30016,0,2011,5.64,"0",49.9893477175294,"A"
30026,1,2011,17.84,"partly intersecting",498.999136521839,"B"
30026,0,2011,17.84,"0",500.404934392217,"A"
30026,1,2011,12.62,"partly intersecting",249.560410007411,"B"
30026,0,2011,12.62,"0",250.554870160111,"A"
30026,1,2011,5.64,"partly intersecting",49.7213580832254,"B"
30026,0,2011,5.64,"0",50.1657919391074,"A"
30031,1,2011,17.84,"partly intersecting",499.000929311919,"B"
30031,0,2011,17.84,"0",500.403141602137,"A"
30031,1,2011,12.62,"partly intersecting",249.56167858053,"B"
30031,0,2011,12.62,"0",250.553601586992,"A"
30031,1,2011,5.64,"partly intersecting",49.7219289629104,"B"
30031,0,2011,5.64,"0",50.1652210594223,"A"
30040,1,2011,17.84,"partly intersecting",499.320116086711,"B"
