"MoMoK_Nr","Spalte1","Bundeland","Datum","Nr_VJ_PK","Lage","Distanz MB [cm]","pk_maxdist [cm]","LfdNr","Baumart (Code)","Baumart","Hoehe [cm]","grklasse"
32020,"Postluch/Britz","BB",2022-02-15,"N","Nord",1000,500,1,104,"SER",58,0
32020,"Postluch/Britz","BB",2022-02-15,"N","Nord",1000,500,2,104,"SER",400,1
32020,"Postluch/Britz","BB",2022-02-15,"N","Nord",1000,500,3,121,"VBE",129,0
32020,"Postluch/Britz","BB",2022-02-15,"N","Nord",1000,500,4,104,"SER",220,1
32020,"Postluch/Britz","BB",2022-02-15,"O","Ost",1000,403,1,104,"SER",64,0
32020,"Postluch/Britz","BB",2022-02-15,"O","Ost",1000,403,2,104,"SER",150,1
32020,"Postluch/Britz","BB",2022-02-15,"O","Ost",1000,403,3,104,"SER",28,0
32020,"Postluch/Britz","BB",2022-02-15,"O","Ost",1000,403,4,104,"SER",43,0
32020,"Postluch/Britz","BB",2022-02-15,"O","Ost",1000,403,5,104,"SER",40,0
32020,"Postluch/Britz","BB",2022-02-15,"O","Ost",1000,403,6,104,"SER",520,1
32020,"Postluch/Britz","BB",2022-02-15,"O","Ost",1000,403,7,104,"SER",670,2
32020,"Postluch/Britz","BB",2022-02-15,"O","Ost",1000,403,8,104,"SER",150,1
32020,"Postluch/Britz","BB",2022-02-15,"O","Ost",1000,403,9,104,"SER",178,1
32020,"Postluch/Britz","BB",2022-02-15,"O","Ost",1000,403,10,104,"SER",510,2
32020,"Postluch/Britz","BB",2022-02-15,"S","Süd",1000,471,1,104,"SER",100,0
32020,"Postluch/Britz","BB",2022-02-15,"S","Süd",1000,471,2,104,"SER",103,0
32020,"Postluch/Britz","BB",2022-02-15,"S","Süd",1000,471,3,104,"SER",86,0
32020,"Postluch/Britz","BB",2022-02-15,"S","Süd",1000,471,4,104,"SER",54,0
32020,"Postluch/Britz","BB",2022-02-15,"S","Süd",1000,471,5,104,"SER",73,0
32020,"Postluch/Britz","BB",2022-02-15,"S","Süd",1000,471,6,104,"SER",56,0
32020,"Postluch/Britz","BB",2022-02-15,"S","Süd",1000,471,7,104,"SER",160,1
32020,"Postluch/Britz","BB",2022-02-15,"S","Süd",1000,471,8,104,"SER",660,2
32020,"Postluch/Britz","BB",2022-02-15,"S","Süd",1000,471,9,104,"SER",920,1
32020,"Postluch/Britz","BB",2022-02-15,"S","Süd",1000,471,10,104,"SER",69,1
32020,"Postluch/Britz","BB",2022-02-15,"W","West",1000,224,1,104,"SER",680,1
32020,"Postluch/Britz","BB",2022-02-15,"W","West",1000,224,2,104,"SER",330,1
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,350,1,121,"VBE",83,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,350,2,121,"VBE",87,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,350,3,121,"VBE",65,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,350,4,121,"VBE",76,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,350,5,121,"VBE",94,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"O","Ost",1000,370,1,207,"GFI",300,1
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"O","Ost",1000,370,2,207,"GFI",360,1
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"S","Süd",1000,380,1,207,"GFI",24,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"S","Süd",1000,380,2,108,"MBI",23,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"S","Süd",1000,380,3,207,"GFI",20,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"W","West",1000,190,1,121,"VBE",23,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,280,1,121,"VBE",113,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,280,2,121,"VBE",73,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,280,3,121,"VBE",69,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,280,4,121,"VBE",91,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,280,5,207,"GFI",55,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,280,6,121,"VBE",53,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,280,7,207,"GFI",30,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,280,8,207,"GFI",60,0
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-13,"N","Nord",1000,280,9,207,"GFI",33,0
