"bund_nr","team","datum","hbi_status","beart","besttyp","struktur","schlussgrad_schi1","schlussgrad_schi2","mischung","pk1_aufnahme","pk2_aufnahme","pk3_aufnahme","geraet","beschreibungbestockung","anmerkung"
100125,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
80109,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
80181,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
80187,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
80190,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
80197,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
80277,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
80300,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
80888,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
70002,"RP07_FAG",2012-04-26,-9,1,1,1,2,-9,2,1,1,2,"-9",NA,NA
10001,"Janssen, Heile",2012-01-10,-9,1,7,2,2,6,3,1,1,1,"-9",NA,NA
10002,"Janssen, Heile",2012-01-10,-9,1,2,4,2,6,4,1,1,1,"-9",NA,NA
10003,"Janssen, Heile",2012-01-12,-9,1,6,2,3,6,3,1,1,1,"-9",NA,NA
10004,"Janssen, Heile",2012-01-11,-9,1,4,3,1,4,2,1,1,1,"-9","Überhalt aus SEi und Alt-RBu als 2. Schicht verschlüsselt;",NA
10005,"Janssen, Heile",2012-01-11,-9,1,6,3,1,5,4,1,1,1,"-9","Überhalt aus SEi, GKi und RBu als 2. Schicht verschlüsselt;",NA
10006,"Janssen, Heile",2012-01-12,-9,1,4,2,2,6,2,1,1,1,"-9",NA,NA
10007,"Janssen, Heile",2012-01-31,-9,1,2,1,1,-9,3,1,1,1,"-9",NA,NA
10008,"Janssen, Heile",2012-02-06,-9,1,2,2,3,6,4,1,1,1,"-9",NA,NA
10009,"Janssen, Heile",2012-02-14,-9,1,7,2,4,2,3,1,1,1,"-9","Voranbau (RBu/KTa) unter GKi (noch rudimentär vorhanden), SEi aus dem ehem. Zwischenstand bildet aktuell das Bestandesgerüst; Plot liegt nahe Feldkante;",NA
10010,"Janssen, Heile",2012-01-16,-9,1,4,3,1,6,3,1,1,1,"-9","Oberstand aus SEi und RBu als 
2. Schicht codiert;",NA
10011,"Janssen, Heile",2012-02-01,-9,1,1,4,6,6,2,1,1,1,"-9",NA,NA
10012,"Janssen, Heile",2012-02-01,-9,1,1,6,6,6,2,1,1,2,"-9","einzelstammweise Überhalt aus GKi (130j.) als ""Schicht 3"";",NA
10013,"Janssen, Heile",2012-01-18,-9,1,1,1,1,-9,4,1,1,1,"-9","Plot liegt nahe Feldkante;",NA
10014,"Janssen, Heile",2012-01-17,-9,1,4,2,2,5,3,1,1,1,"-9","Plot liegt im Randbereich von RBu/SEi-Altholz zu WTa-Stangenholz/Jungwuchs;",NA
10015,"Janssen, Heile",2012-12-21,-9,1,1,4,2,6,3,1,1,1,"-9","Bestand 2011 DF; 
2. Schicht besteht zum Großteil aus STk;",NA
10016,"Janssen, Heile",2012-02-20,-9,1,3,1,3,-9,1,1,1,1,"-9",NA,NA
10017,"Janssen, Heile",2012-02-07,-9,1,7,2,2,6,4,1,1,1,"-9",NA,NA
10018,"Janssen, Heile",2012-02-03,-9,1,7,2,3,6,3,1,1,1,"-9",NA,NA
10019,"Janssen, Heile",2012-02-02,-9,1,8,2,2,6,2,1,1,1,"-9","Plot-MP um 1,78m und 3 gon von Profilwandmitte auf`s ""Festland"" verschoben, da Plot derzeit überschwemmt bzw. vereist;",NA
10020,"Janssen, Heile",2012-02-07,-9,1,8,3,6,6,2,1,1,1,"-9","Schicht 2=Überhalt aus GFi/SFi/Dgl;
Bestand 2011 geläutert;",NA
10021,"Janssen, Heile",2012-02-02,-9,1,1,1,2,-9,1,1,1,1,"-9",NA,NA
10022,"Janssen, Heile",2012-02-03,-9,1,4,4,6,1,2,1,1,1,"-9",NA,NA
10023,"Janssen, Heile",2012-02-08,-9,1,7,2,3,3,3,1,1,1,"-9",NA,NA
10024,"Janssen, Heile",2012-02-21,-9,1,7,1,2,-9,3,1,1,1,"-9","Plot liegt an Weihnachtsbaumplantage;
RBu & SEi tlw. aus Mittelwald-bewirtschaftung;",NA
10025,"Janssen, Heile",2012-02-08,-9,1,1,4,6,1,3,1,1,1,"-9","deutliche Schälschäden in der Unterschicht (SFi/JLä/GFi);",NA
10026,"Janssen, Heile",2012-01-26,-9,1,8,1,2,-9,3,1,1,1,"-9",NA,NA
10027,"Janssen, Heile",2012-01-23,-9,1,5,2,1,5,3,1,1,1,"-9",NA,NA
10028,"Janssen, Heile",2012-01-24,-9,1,7,2,1,4,3,1,1,1,"-9",NA,NA
10029,"Janssen, Heile",2012-01-25,-9,1,1,1,1,-9,3,1,1,2,"-9","Die Fehlbestockung mit GFi auf diesem Standort dient im Wildschongebiet nur jagdlichen Zwecken...(muß man mal live gesehen haben und auf sich wirken lassen!)",NA
10030,"Janssen, Heile",2012-02-09,-9,1,4,2,2,6,3,1,1,1,"-9","signifikantes Auftreten des Eschentriebsterbens;",NA
10031,"Janssen, Heile",2012-01-24,-9,1,4,4,4,1,1,1,1,1,"-9",NA,NA
10032,"Janssen, Heile",2012-01-25,-9,1,8,2,3,6,2,1,1,1,"-9","Plot liegt in unmittelbarer Nähe zu jagdlich orientiertem Futterplatz/Kirrung",NA
10033,"Janssen, Heile",2012-02-09,-9,1,6,4,3,2,3,1,1,1,"-9","Plot liegt unmittelbar an einer Landstraße; RBu-Voranbau auf ganzer Fläche (15j.);",NA
10034,"Janssen, Heile",2012-01-26,-9,1,6,1,2,-9,4,1,1,1,"-9","Plot liegt an einer Senke, die als wilde Müllhalde genutz wurde;",NA
10035,"Janssen, Heile",2012-02-16,-9,1,8,1,2,-9,2,1,1,1,"-9",NA,NA
10036,"Janssen, Heile",2012-02-16,-9,1,3,1,3,-9,3,1,1,1,"-9","Bestand aktuell 2011 DF:",NA
10037,"Janssen, Heile",2012-02-17,-9,1,4,2,2,6,3,1,1,1,"-9",NA,NA
10038,"Janssen, Heile",2012-02-22,-9,1,1,1,2,-9,4,1,1,1,"-9","Plot aktuell 2012 DF, MP liegt mittig einer Harvesterfahrspur;",NA
10039,"Janssen, Heile",2012-02-15,-9,1,4,1,2,-9,2,1,1,1,"-9","Profil noch nicht verfüllt;",NA
10040,"Janssen, Heile",2012-02-22,-9,1,1,1,2,-9,2,1,1,1,"-9",NA,NA
10041,"Janssen, Heile",2012-02-15,-9,1,8,1,3,-9,3,1,1,1,"-9","Eschentriebsterben deutlich erkennbar; massiver Brombeerbewuchs; starker Damwildeinstand;",NA
10042,"Janssen, Heile",2012-02-23,-9,1,3,2,2,6,3,1,1,1,"-9","Profil noch nicht verfüllt;",NA
10043,"Janssen, Heile",2012-01-09,-9,1,4,1,2,-9,1,1,1,1,"-9",NA,NA
20001,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
20002,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
20003,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
20004,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
30001,"Janssen, Heile",2011-07-04,-9,1,4,2,2,6,7,1,1,1,"-9",NA,NA
30002,"Janssen, Heile",2011-06-16,-9,1,8,2,3,6,3,1,1,1,"-9",NA,NA
30004,"Janssen, Heile",2011-07-04,-9,1,4,4,6,6,2,1,1,1,"-9",NA,NA
30006,"Janssen, Heile",2011-05-04,-9,1,5,5,2,5,2,1,1,1,"-9",NA,NA
30007,"Janssen, Heile",2011-05-05,-9,1,6,2,2,6,3,1,1,1,"-9",NA,NA
30008,"Janssen, Heile",2011-05-14,-9,1,8,2,3,5,3,1,1,1,"-9","Orchideenstandort",NA
30009,"Janssen, Heile",2011-05-12,-9,1,4,1,1,-9,2,1,1,2,"-9",NA,NA
30013,"Janssen, Heile",2011-05-14,-9,1,4,2,3,6,3,1,1,1,"-9",NA,NA
30014,"Janssen, Heile",2011-05-13,-9,1,1,1,2,-9,1,1,1,1,"-9",NA,NA
30016,"Janssen, Heile",2011-06-14,-9,1,1,4,6,4,1,1,1,1,"-9","angerissenes Fi-Altholz mit Voranbau aus Bu, ergänzt durch NV der Fi",NA
30019,"Janssen, Heile",2011-05-16,-9,1,4,1,1,-9,3,1,1,2,"-9",NA,NA
30022,"Janssen, Heile",2011-05-16,-9,1,4,4,4,6,1,2,1,1,"-9",NA,NA
30023,"Janssen, Heile",2011-06-16,-9,1,4,4,2,6,1,1,1,1,"-9",NA,NA
30024,"Janssen, Heile",2011-07-05,-9,1,4,1,3,-9,2,1,1,1,"-9",NA,NA
30026,"Janssen, Heile",2011-07-05,-9,1,7,1,1,-9,3,1,1,1,"-9",NA,NA
30028,"Janssen, Heile",2011-05-06,-9,1,4,4,4,6,1,1,1,1,"-9",NA,NA
30029,"Janssen, Heile",2011-07-14,-9,1,1,4,5,1,1,1,1,1,"-9","teilweise Windwurflöcher  durch Kyrill",NA
30031,"Janssen, Heile",2011-07-06,-9,1,1,1,6,-9,1,1,1,1,"-9","Plot-MP  liegt direkt am Bestandesrand einer Windwurffläche, starker Bewuchs mit Himbeere bzw. Vergrasung;",NA
30638,"Janssen, Heile",2011-10-18,-9,1,3,4,3,6,7,1,1,1,"-9",NA,NA
30032,"Janssen, Heile",2011-07-19,-9,1,1,1,6,-9,1,1,1,1,"-9","deutliche Windwurflöcher, Bestand angerissen;",NA
30033,"Janssen, Heile",2011-07-14,-9,1,4,1,1,-9,2,1,1,1,"-9","NW-Hang mit starker Windexposition",NA
30034,"Janssen, Heile",2011-07-11,-9,1,1,2,6,6,1,1,1,1,"-9",NA,NA
30036,"Janssen, Heile",2011-07-13,-9,1,1,1,2,-9,1,1,1,1,"-9",NA,NA
30037,"Janssen, Heile",2011-07-07,-9,1,4,1,6,-9,3,1,1,2,"-9","RBu-Jungbestand aus Voranbau, ehem. Altfichtenbestand 2007 durch Kyrill vollständig zerstört;",NA
