"bund_nr","lfd_nr","typ","baumgruppe","anzahl","durchmesser","laenge","zersetzung"
10001,1,4,2,-9,24,1,4
10001,2,1,2,-9,12,13,4
10001,3,4,2,-9,10,1,5
10001,4,4,2,-9,42,1,4
10001,5,1,2,-9,14,17,4
10001,6,1,2,-9,9,21,5
10001,7,1,2,-9,16,20,4
10001,8,1,2,-9,15,10,4
10001,9,1,1,-9,53,1,2
10001,10,1,2,-9,36,1,4
10001,11,1,2,-9,13,5,5
10001,12,1,2,-9,11,7,4
10001,13,1,2,-9,11,4,5
10001,14,1,2,-9,13,14,4
10001,15,1,2,-9,12,19,4
10001,16,1,2,-9,11,18,5
10001,17,1,2,-9,11,20,5
10001,18,1,2,-9,10,9,4
10001,19,1,2,-9,11,23,4
10001,20,4,2,-9,10,1,4
10001,21,1,2,-9,9,7,5
10001,22,1,2,-9,10,6,5
10001,23,1,2,-9,9,20,5
10001,24,1,2,-9,11,7,5
10001,25,4,2,-9,41,2,4
10001,26,1,3,-9,13,122,3
10001,27,4,2,-9,28,2,4
10001,28,4,2,-9,13,1,5
10001,29,4,2,-9,18,2,4
10001,30,4,2,-9,36,1,5
10001,31,4,2,-9,13,1,5
10001,32,4,1,-9,23,2,3
10001,33,4,2,-9,28,2,4
10001,34,4,2,-9,13,1,5
10002,1,4,1,-9,21,1,1
10002,2,4,2,-9,12,3,2
10002,3,1,2,-9,6,105,2
10002,4,4,1,-9,14,1,3
10002,5,4,1,-9,27,3,1
10002,6,1,2,-9,15,36,5
10002,7,4,1,-9,15,1,2
10002,8,1,1,-9,12,14,1
10002,9,1,1,-9,9,38,1
10002,10,4,1,-9,20,2,1
10002,11,4,1,-9,30,2,1
10002,12,4,1,-9,22,2,1
10002,13,3,1,-9,11,20,2
10002,14,4,1,-9,23,2,2
10002,15,4,1,-9,12,3,4
10002,16,4,1,-9,15,1,4
10002,17,4,1,-9,15,3,3
10002,18,3,1,-9,10,22,4
10002,19,1,1,-9,10,115,4
10002,20,4,1,-9,17,2,4
10002,21,4,1,-9,27,2,1
10002,22,4,1,-9,33,2,1
10002,23,4,2,-9,13,2,4
10002,24,1,1,-9,12,12,1
10002,25,5,1,-9,14,173,5
10002,26,1,1,-9,11,24,3
10002,27,1,1,-9,8,120,4
10002,28,4,1,-9,14,2,2
10002,29,1,1,-9,9,72,5
10002,30,1,1,-9,9,46,4
10002,31,4,1,-9,20,2,1
10002,32,4,1,-9,30,2,1
10002,33,4,1,-9,12,2,3
10002,34,4,1,-9,10,1,4
10002,35,4,1,-9,38,1,1
10002,36,1,1,-9,8,34,1
10002,37,4,1,-9,22,1,1
10002,38,1,1,-9,6,79,1
10002,39,4,1,-9,28,1,1
10002,40,4,1,-9,26,3,1
10002,41,4,1,-9,22,1,1
10002,42,4,1,-9,12,1,3
10003,1,4,1,-9,12,1,4
10003,2,4,1,-9,22,2,4
10003,3,4,1,-9,21,1,4
10003,4,4,2,-9,30,1,4
10003,5,4,1,-9,19,1,5
10003,6,2,1,-9,34,276,2
10003,7,1,1,-9,11,57,1
10003,8,1,1,-9,9,28,1
10003,9,1,1,-9,11,2,1
10003,10,1,1,-9,21,35,1
10003,11,1,1,-9,10,28,1
10003,12,1,1,-9,9,5,1
10003,13,1,1,-9,9,27,1
10003,14,3,1,-9,10,49,3
10003,15,4,1,-9,21,1,4
10003,16,1,1,-9,20,1,3
10003,17,1,1,-9,31,25,3
10003,18,1,1,-9,26,57,2
10003,19,1,2,-9,13,31,3
10003,20,1,1,-9,36,98,2
10003,21,3,1,-9,33,27,3
10003,22,1,2,-9,9,26,4
10003,23,4,2,-9,12,3,4
