"MoMoK_Nr","Name","Bundeland","Datum_Aufnahme","Nr_PK","BNr","ZW","St","Baumart (Code)","Baumart","Schi","Kraft","Alt","Alt-Meth","BHD [mm]","BHD Hoehe [cm]","Permanent-Maßband","Punktdendrometer","BHD Stufen","Hoehe [dm]","Kronenansatz [dm]","Distanz [cm]","Azimut [Gon]","Azimut [°]","Bemerkung"
33300,"Buchenhorst","MV",NA,NA,1,NA,0,104,"SER",1,"3","44",1,160,130,NA,NA,3,128,87,49,"1.5",1.35,NA
33300,"Buchenhorst","MV",NA,NA,2,NA,0,104,"SER",1,"2(1)","44",1,254,130,NA,NA,5,169,73,46,"60",54,NA
33300,"Buchenhorst","MV",NA,NA,3,NA,0,104,"SER",1,"4","NA",1,129,130,NA,NA,2,105,92,77,"92",82.8,NA
33300,"Buchenhorst","MV",NA,NA,4,NA,0,104,"SER",1,"4","NA",1,106,130,NA,NA,2,74,59,124,"97",87.3,NA
33300,"Buchenhorst","MV",NA,NA,5,NA,0,104,"SER",1,"4","NA",1,102,130,NA,NA,2,89,81,109,"99",89.1,NA
33300,"Buchenhorst","MV",NA,NA,6,NA,0,104,"SER",1,"4","NA",1,82,130,NA,NA,1,60,44,117,"100",90,NA
33300,"Buchenhorst","MV",NA,NA,7,NA,0,104,"SER",1,"3","44",1,173,130,NA,NA,3,142,98,106,"101",90.9,NA
33300,"Buchenhorst","MV",NA,NA,8,NA,0,104,"SER",1,"3","44",1,157,130,NA,NA,3,124,100,67,"103",92.7,NA
33300,"Buchenhorst","MV",NA,NA,9,NA,0,104,"SER",1,"3","44",1,143,130,NA,NA,2,116,103,96,"116",104.4,NA
33300,"Buchenhorst","MV",NA,NA,10,NA,0,104,"SER",1,"4","NA",1,86,130,NA,NA,1,85,72,114,"116",104.4,NA
33300,"Buchenhorst","MV",NA,NA,11,NA,0,104,"SER",1,"4","NA",1,115,130,NA,NA,2,107,96,119,"117",105.3,NA
33300,"Buchenhorst","MV",NA,NA,12,NA,0,104,"SER",1,"4","NA",1,81,130,NA,NA,1,83,73,126,"124",111.6,NA
33300,"Buchenhorst","MV",NA,NA,13,NA,0,104,"SER",1,"2","44",1,201,130,NA,NA,4,155,91,106,"131",117.9,NA
33300,"Buchenhorst","MV",NA,NA,14,NA,0,104,"SER",1,"4","44",1,128,130,NA,NA,2,113,103,120,"131",117.9,NA
33300,"Buchenhorst","MV",NA,NA,15,1,0,104,"SER",1,"4","44",1,146,130,NA,NA,2,133,100,19,"135",121.5,NA
33300,"Buchenhorst","MV",NA,NA,16,1,0,104,"SER",1,"2","44",1,181,130,NA,NA,3,143,89,21,"135",121.5,NA
33300,"Buchenhorst","MV",NA,NA,17,NA,0,104,"SER",1,"1","44",1,257,130,NA,NA,5,177,97,88,"135",121.5,NA
33300,"Buchenhorst","MV",NA,NA,18,NA,0,104,"SER",1,"4","NA",1,96,130,NA,NA,1,96,77,100,"149",134.1,NA
33300,"Buchenhorst","MV",NA,NA,19,NA,0,104,"SER",1,"4","NA",1,104,130,NA,NA,2,115,98,93,"151",135.9,NA
33300,"Buchenhorst","MV",NA,NA,20,NA,0,104,"SER",1,"4","NA",1,101,130,NA,NA,2,102,88,122,"156",140.4,NA
33300,"Buchenhorst","MV",NA,NA,21,NA,0,104,"SER",1,"1","44",1,267,130,NA,NA,5,170,95,97,"162",145.8,NA
33300,"Buchenhorst","MV",NA,NA,22,NA,0,104,"SER",1,"2","44",1,197,130,NA,NA,3,157,121,63,"166",149.4,NA
33300,"Buchenhorst","MV",NA,NA,23,NA,0,104,"SER",1,"4","NA",1,109,130,NA,NA,2,103,85,63,"176",158.4,NA
33300,"Buchenhorst","MV",NA,NA,24,NA,0,104,"SER",1,"4","NA",1,100,130,NA,NA,2,71,62,111,"178",160.2,NA
33300,"Buchenhorst","MV",NA,NA,25,NA,0,104,"SER",1,"3","44",1,164,130,NA,NA,3,137,106,59,"185",166.5,NA
33300,"Buchenhorst","MV",NA,NA,26,NA,0,104,"SER",1,"2","44",1,232,130,NA,NA,4,166,128,96,"190",171,NA
33300,"Buchenhorst","MV",NA,NA,27,NA,0,104,"SER",1,"4","44",1,130,130,NA,NA,2,112,88,75,"191",171.9,NA
33300,"Buchenhorst","MV",NA,NA,28,NA,0,104,"SER",1,"2","44",1,198,130,NA,NA,3,161,126,89,"209",188.1,NA
33300,"Buchenhorst","MV",NA,NA,29,NA,0,104,"SER",1,"3","44",1,155,130,NA,NA,3,135,101,124,"213",191.7,NA
33300,"Buchenhorst","MV",NA,NA,30,NA,0,104,"SER",1,"1","44",1,272,130,NA,NA,5,177,111,113,"215",193.5,NA
33300,"Buchenhorst","MV",NA,NA,31,NA,0,104,"SER",1,"4","44",1,115,130,NA,NA,2,110,98,85,"217",195.3,NA
33300,"Buchenhorst","MV",NA,NA,32,NA,0,104,"SER",1,"2","44",1,230,130,NA,NA,4,169,101,87,"227",204.3,NA
33300,"Buchenhorst","MV",NA,NA,33,NA,0,104,"SER",1,"2","44",1,193,130,NA,NA,3,173,125,119,"233",209.7,NA
33300,"Buchenhorst","MV",NA,NA,34,NA,0,104,"SER",1,"1","44",1,278,130,NA,NA,5,188,121,51,"236",212.4,NA
33300,"Buchenhorst","MV",NA,NA,35,NA,0,104,"SER",1,"2","44",1,196,130,NA,NA,3,161,115,82,"236",212.4,NA
33300,"Buchenhorst","MV",NA,NA,36,NA,0,104,"SER",1,"4","44",1,130,130,NA,NA,2,123,103,109,"236",212.4,NA
33300,"Buchenhorst","MV",NA,NA,37,NA,0,104,"SER",1,"3","44",1,151,130,NA,NA,3,150,128,120,"240",216,NA
33300,"Buchenhorst","MV",NA,NA,38,NA,0,104,"SER",1,"3","44",1,161,130,NA,NA,3,160,126,111,"249",224.1,NA
33300,"Buchenhorst","MV",NA,NA,39,NA,0,104,"SER",1,"3","44",1,170,130,NA,NA,3,177,136,98,"254",228.6,NA
33300,"Buchenhorst","MV",NA,NA,40,NA,0,104,"SER",1,"4","44",1,132,130,NA,NA,2,139,102,48,"262",235.8,NA
33300,"Buchenhorst","MV",NA,NA,41,NA,0,104,"SER",1,"2","44",1,244,130,NA,NA,4,173,119,28,"276",248.4,NA
33300,"Buchenhorst","MV",NA,NA,42,NA,0,104,"SER",1,"3","44",1,164,130,NA,NA,3,129,93,67,"279",251.1,NA
33300,"Buchenhorst","MV",NA,NA,43,NA,0,104,"SER",1,"2","44",1,253,130,NA,NA,5,173,109,46,"282",253.8,NA
33300,"Buchenhorst","MV",NA,NA,44,NA,0,104,"SER",1,"4","44",1,127,130,NA,NA,2,102,82,104,"282",253.8,NA
33300,"Buchenhorst","MV",NA,NA,45,NA,0,104,"SER",1,"2","44",1,225,130,NA,NA,4,167,102,81,"298",268.2,NA
33300,"Buchenhorst","MV",NA,NA,46,NA,0,104,"SER",1,"2","44",1,262,130,NA,NA,5,169,77,118,"308",277.2,NA
33300,"Buchenhorst","MV",NA,NA,47,NA,0,104,"SER",1,"3","44",1,155,130,NA,NA,3,144,120,65,"310.5",279.45,NA
33300,"Buchenhorst","MV",NA,NA,48,NA,0,104,"SER",1,"4","44",1,135,130,NA,NA,2,116,104,118,"315",283.5,NA
33300,"Buchenhorst","MV",NA,NA,49,NA,0,104,"SER",1,"4","NA",1,98,130,NA,NA,1,90,83,112,"318",286.2,NA
33300,"Buchenhorst","MV",NA,NA,50,NA,0,104,"SER",1,"2","44",1,207,130,NA,NA,4,164,128,118,"331",297.9,NA
33300,"Buchenhorst","MV",NA,NA,51,NA,0,104,"SER",1,"2","44",1,227,130,NA,NA,4,175,126,87,"333",299.7,NA
33300,"Buchenhorst","MV",NA,NA,52,NA,0,104,"SER",1,"3","44",1,170,130,NA,NA,3,146,109,73,"334",300.6,NA
33300,"Buchenhorst","MV",NA,NA,53,NA,0,104,"SER",1,"3","44",1,177,130,NA,NA,3,146,100,107,"335",301.5,NA
33300,"Buchenhorst","MV",NA,NA,54,NA,0,104,"SER",1,"2","44",1,226,130,NA,NA,4,172,114,39,"337.5",303.75,NA
33300,"Buchenhorst","MV",NA,NA,55,NA,0,104,"SER",1,"4","NA",1,110,130,NA,NA,2,85,72,116,"342",307.8,NA
33300,"Buchenhorst","MV",NA,NA,56,NA,0,104,"SER",1,"4","44",1,129,130,NA,NA,2,103,83,52,"346",311.4,NA
33300,"Buchenhorst","MV",NA,NA,57,NA,0,104,"SER",1,"4","NA",1,104,130,NA,NA,2,100,74,114,"349",314.1,NA
33300,"Buchenhorst","MV",NA,NA,58,NA,0,104,"SER",1,"3","44",1,167,130,NA,NA,3,110,105,103,"351",315.9,NA
33300,"Buchenhorst","MV",NA,NA,59,NA,0,104,"SER",1,"3","44",1,156,130,NA,NA,3,93,84,86,"364.5",328.05,NA
33300,"Buchenhorst","MV",NA,NA,60,NA,0,104,"SER",1,"3","44",1,159,130,NA,NA,3,113,88,57,"380.5",342.45,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",1,NA,0,104,"SER",1,"1","101",1,375,130,0,1,7,NA,NA,168,"63",56.7,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",2,NA,0,104,"SER",1,"3","101",1,340,130,0,0,6,NA,NA,700,"119",107.1,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",3,NA,0,104,"SER",1,"1","101",1,404,130,0,0,8,NA,NA,1059,"108",97.2,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",4,NA,0,104,"SER",1,"1","101",1,402,130,0,0,8,279,193,1250,"131",117.9,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",5,NA,0,104,"SER",1,"2","101",1,374,130,1,0,7,NA,NA,876,"189",170.1,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",6,NA,0,104,"SER",1,"1","101",1,399,130,1,0,7,NA,NA,1183,"184",165.6,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",7,NA,0,104,"SER",1,"2","101",1,352,130,0,1,7,304,203,206,"237",213.3,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",8,1,0,104,"SER",1,"3","101",1,322,130,1,0,6,250,212,977,"240",216,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",9,1,0,104,"SER",1,"3","101",1,325,130,0,0,6,NA,NA,974,"248",223.2,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",10,1,0,104,"SER",1,"4","101",1,263,130,0,0,5,181,156,1041,"245",220.5,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",11,NA,0,104,"SER",1,"1","101",1,450,130,0,1,9,247,154,378,"312",280.8,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",12,NA,0,104,"SER",1,"2","101",1,307,130,0,0,6,NA,NA,1015,"291",261.9,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",13,NA,0,104,"SER",1,"1","101",1,369,130,0,0,7,NA,NA,823,"338",304.2,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",14,NA,0,104,"SER",2,NA,"NA",1,101,130,0,0,2,113,12,831,"342",307.8,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",15,NA,0,104,"SER",2,NA,"NA",1,79,130,0,0,1,81,22,864,"340",306,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",16,NA,0,104,"SER",1,"2","101",1,357,130,0,0,7,NA,NA,1176,"365",328.5,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",17,NA,0,104,"SER",1,"2","101",1,374,130,0,0,7,NA,NA,1206,"363",326.7,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",18,NA,0,104,"SER",1,"3","101",1,394,130,0,0,7,NA,NA,604,"14",12.6,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",19,NA,0,153,"STK",2,NA,"NA",1,119,130,0,0,2,91,23,633,"34",30.6,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",20,NA,0,104,"SER",1,"1","101",1,444,130,1,0,8,NA,NA,726,"41",36.9,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",21,NA,0,104,"SER",2,NA,"NA",1,79,130,0,0,1,73,17,693,"43",38.7,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",22,NA,0,104,"SER",1,"2","101",1,348,130,0,0,6,NA,NA,982,"52",46.8,NA
32020,"Postluch/Britz","BB",2022-02-09,"MB",23,NA,0,104,"SER",2,NA,"NA",1,95,130,0,0,1,91,22,1035,"52",46.8,NA
34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN",2021-10-12,"1",1,NA,0,207,"GFI",1,"4","41",1,114,130,0,0,2,98,63,1010,"2",1.8,"KB"
