"bund_nr","status","pk_dist","pk_azi"
"32020",1,-9,-9
"34010_1",1,-9,-9
"34010_2",1,-9,-9
"32010",1,-9,-9
"32050",1,-9,-9
"32070",1,-9,-9
"32090",1,-9,-9
"32080",1,-9,-9
"33050",1,-9,-9
"33010",1,-9,-9
"34030",1,-9,-9
"34040",1,-9,-9
"33040",1,-9,-9
"29080",1,-9,-9
"29090",1,-9,-9
"35500",1,-9,-9
"27040",1,-9,-9
"27011",1,-9,-9
"26010",1,-9,-9
"26020",1,-9,-9
"26030",1,-9,-9
"21030",1,-9,-9
"21020",1,-9,-9
"23061",1,-9,-9
"23060",1,-9,-9
"23150",1,-9,-9
"23170",1,-9,-9
"25100",1,-9,-9
"33300",1,-9,-9
"28040",1,-9,-9
"36041",1,-9,-9
"36010",1,-9,-9
"23110",1,-9,-9
"23090",1,-9,-9
"36020",1,-9,-9
"28100",1,-9,-9
"28130",1,-9,-9
"28021",1,-9,-9
"28120",1,-9,-9
"23070",1,-9,-9
"23081",1,-9,-9
"36030",1,-9,-9
