"bund_nr","lfd_nr","zwiesel","bart","alter","alter_methode","d_mess","bhd_hoehe","hoehe","kransatz","azi","hori","kraft","schi"
"33300",1,NA,"SER",44,1,160,130,128,87,1.5,49,"3",1
"33300",2,NA,"SER",44,1,254,130,169,73,60,46,"2(1)",1
"33300",3,NA,"SER",NA,1,129,130,105,92,92,77,"4",1
"33300",4,NA,"SER",NA,1,106,130,74,59,97,124,"4",1
"33300",5,NA,"SER",NA,1,102,130,89,81,99,109,"4",1
"33300",6,NA,"SER",NA,1,82,130,60,44,100,117,"4",1
"33300",7,NA,"SER",44,1,173,130,142,98,101,106,"3",1
"33300",8,NA,"SER",44,1,157,130,124,100,103,67,"3",1
"33300",9,NA,"SER",44,1,143,130,116,103,116,96,"3",1
"33300",10,NA,"SER",NA,1,86,130,85,72,116,114,"4",1
"33300",11,NA,"SER",NA,1,115,130,107,96,117,119,"4",1
"33300",12,NA,"SER",NA,1,81,130,83,73,124,126,"4",1
"33300",13,NA,"SER",44,1,201,130,155,91,131,106,"2",1
"33300",14,NA,"SER",44,1,128,130,113,103,131,120,"4",1
"33300",15,1,"SER",44,1,146,130,133,100,135,19,"4",1
"33300",16,1,"SER",44,1,181,130,143,89,135,21,"2",1
"33300",17,NA,"SER",44,1,257,130,177,97,135,88,"1",1
"33300",18,NA,"SER",NA,1,96,130,96,77,149,100,"4",1
"33300",19,NA,"SER",NA,1,104,130,115,98,151,93,"4",1
"33300",20,NA,"SER",NA,1,101,130,102,88,156,122,"4",1
"33300",21,NA,"SER",44,1,267,130,170,95,162,97,"1",1
"33300",22,NA,"SER",44,1,197,130,157,121,166,63,"2",1
"33300",23,NA,"SER",NA,1,109,130,103,85,176,63,"4",1
"33300",24,NA,"SER",NA,1,100,130,71,62,178,111,"4",1
"33300",25,NA,"SER",44,1,164,130,137,106,185,59,"3",1
"33300",26,NA,"SER",44,1,232,130,166,128,190,96,"2",1
"33300",27,NA,"SER",44,1,130,130,112,88,191,75,"4",1
"33300",28,NA,"SER",44,1,198,130,161,126,209,89,"2",1
"33300",29,NA,"SER",44,1,155,130,135,101,213,124,"3",1
"33300",30,NA,"SER",44,1,272,130,177,111,215,113,"1",1
"33300",31,NA,"SER",44,1,115,130,110,98,217,85,"4",1
"33300",32,NA,"SER",44,1,230,130,169,101,227,87,"2",1
