"bund_nr","pk_nr","pk_richtung","pk_dist","pk_maxdist","pk_aufnahme","pk_anmerkung"
"21020",1,"Nord",1000,405,1,NA
"21020",2,"Ost",1000,463,1,NA
"21020",3,"Süd",1000,499,1,NA
"21020",4,"West",1000,485,1,NA
"21030",1,"Nord",1000,426,1,NA
"21030",2,"Ost",1000,493,1,NA
"21030",3,"Süd",1000,500,1,NA
"23060",1,"Nord",1000,486,1,NA
"23060",2,"Ost",1000,500,1,NA
"23060",3,"Süd",1000,476,1,NA
"23060",4,"West",1000,480,1,NA
"23061",1,"Nord",1000,462,1,NA
"23061",2,"Ost",1000,498,1,NA
"23061",3,"Süd",1000,369,1,NA
"23061",4,"West",1000,373,1,NA
"23070",1,"Nord",1000,498,1,NA
"23070",2,"Ost",1000,438,1,NA
"23070",3,"Süd",1000,488,1,NA
"23070",4,"West",1000,368,1,NA
"23081",1,"Nord",1000,426,1,NA
"23081",2,"Ost",1000,220,1,NA
"23081",3,"Süd",1000,350,1,NA
"23081",4,"West",1000,350,1,NA
"23110",1,"Nord",1000,275,1,NA
"23110",2,"Ost",1000,450,1,NA
"23110",3,"Süd",1000,350,1,NA
"23110",4,"West",1000,493,1,NA
"23150",1,"Nord",1000,463,1,NA
"23150",2,"Ost",1000,487,1,NA
"23150",3,"Süd",1000,461,1,NA
"23150",4,"West",1000,496,1,NA
"23170",1,"Nord",1000,499,1,NA
"23170",2,"Ost",1000,452,1,NA
"23170",3,"Süd",1000,378,1,NA
"23170",4,"West",1000,499,1,NA
"25080",1,"Nord",1000,137,1,NA
"25080",2,"Ost",1000,200,1,NA
"25080",3,"Süd",1000,313,1,NA
"25080",4,"West",1000,297,1,NA
"25100",1,"Nord",1000,499,1,NA
"25100",2,"Ost",1000,476,1,NA
"25100",3,"Süd",1000,469,1,NA
"25100",4,"West",1000,432,1,NA
"26010",1,"Nord",1000,463,1,NA
"26010",2,"Ost",1000,376,1,NA
"26010",3,"Süd",1000,273,1,NA
"26010",4,"West",1000,313,1,NA
"26020",1,"Nord",1000,396,1,NA
"26020",2,"Ost",1000,452,1,NA
"26020",3,"Süd",1000,197,1,NA
"26020",4,"West",1000,442,1,NA
"26030",1,"Nord",1000,285,1,NA
"26030",2,"Ost",1000,296,1,NA
"26030",3,"Süd",1000,239,1,NA
"26030",4,"West",1000,352,1,NA
"27011",1,"Nord",1000,207,1,NA
"27040",1,"Nord",1000,125,1,NA
"27040",2,"Ost",1000,105,1,NA
"27040",3,"Süd",1000,135,1,NA
"27040",4,"West",1000,210,1,NA
"28021",1,"Ost",1000,NA,1,NA
"28040",1,"Nord",1000,429,1,NA
"28040",2,"Ost",1000,491,1,NA
"28040",3,"Süd",1000,467,1,NA
"28040",4,"West",1000,319,1,NA
"28100",1,"Nord",1000,NA,1,NA
"28100",2,"Ost",1000,NA,1,NA
"28100",3,"Süd",1000,NA,1,NA
"28100",4,"West",1000,NA,1,NA
"28120",1,"Süd",1000,397,1,NA
"28120",2,"West",1000,499,1,NA
"28130",1,"Nord",1000,NA,1,NA
"28130",2,"Ost",1000,NA,1,NA
"28130",3,"Süd",1000,NA,1,NA
"28130",4,"West",1000,NA,1,NA
"28160",1,"Nord",1000,225,1,NA
"28160",2,"Ost",1000,153,1,NA
"28160",3,"Süd",1000,366,1,NA
"28160",4,"West",1000,332,1,NA
"29080",1,"Nord",1000,498,1,NA
"29080",2,"Ost",1000,244,1,NA
"29080",3,"Süd",1000,492,1,NA
"29080",4,"West",1000,358,1,NA
"29090",1,"Nord",1000,352,1,NA
"29090",2,"Ost",1000,295,1,NA
"29090",3,"Süd",1000,275,1,NA
"29090",4,"West",1000,375,1,NA
"32010",1,"Nord",800,409,1,NA
"32010",2,"Ost",800,489,1,NA
"32010",3,"Süd",800,445,1,NA
"32010",4,"West",800,125,1,NA
"32020",1,"Nord",1000,500,1,NA
"32020",2,"Ost",1000,403,1,NA
"32020",3,"Süd",1000,471,1,NA
"32020",4,"West",1000,224,1,NA
"32050",1,"Nord",1000,389,1,NA
"32050",2,"Ost",1000,320,1,NA
"32050",3,"Süd",1000,461,1,NA
"32050",4,"West",1000,344,1,NA
"32070",1,"Nord",1000,479,1,NA
"32070",2,"Ost",1000,478,1,NA
"32070",3,"Süd",1000,416,1,NA
"32070",4,"West",1000,494,1,NA
"32080",1,"Nord",1000,233,1,NA
"32080",2,"Ost",1000,336,1,NA
"32080",3,"Süd",1000,393,1,NA
"32080",4,"West",1000,470,1,NA
"32090",1,"Nord",1000,490,1,NA
"32090",2,"Süd",1000,500,1,NA
"32090",3,"West",1000,500,1,NA
"33010",1,"Nord",1000,498,1,NA
"33010",2,"Ost",1000,483,1,NA
"33010",3,"Süd",1000,469,1,NA
"33010",4,"West",1000,476,1,NA
"33040",1,"Nord",1000,500,1,NA
"33040",2,"Ost",1000,411,1,NA
"33040",3,"Süd",1000,493,1,NA
"33040",4,"West",1000,483,1,NA
"33050",1,"Nord",1000,386,1,NA
"33050",2,"Ost",1000,459,1,NA
"33050",3,"Süd",1000,482,1,NA
"33050",4,"West",1000,494,1,NA
"33300",1,"Nord",1000,359,1,NA
"33300",2,"Nord",1000,400,1,NA
"33300",3,"Ost",1000,380,1,NA
"33300",4,"Ost",1000,400,1,NA
"33300",5,"Süd",1000,270,1,NA
"33300",6,"Süd",1000,400,1,NA
"33300",7,"West",1000,330,1,NA
"33300",8,"West",1000,340,1,NA
"34010_1",1,"Nord",1000,350,1,NA
"34010_1",2,"Ost",1000,370,1,NA
"34010_1",3,"Süd",1000,380,1,NA
"34010_1",4,"West",1000,190,1,NA
"34010_2",1,"Nord",1000,280,1,NA
"34010_2",2,"Ost",1000,400,1,NA
"34010_2",3,"Süd",1000,290,1,NA
"34010_2",4,"West",1000,350,1,NA
"34020",1,"Nord",1000,278,1,NA
"34020",2,"Ost",1000,84,1,NA
"34020",3,"Süd",1000,280,1,NA
"34020",4,"West",1000,263,1,NA
"34030",1,"Nord",1000,207,1,NA
"34030",2,"Ost",1000,409,1,NA
"34030",3,"Süd",1000,159,1,NA
"34030",4,"West",1000,380,1,NA
"34040",1,"Nord",1000,330,1,NA
"34040",2,"Ost",1000,215,1,NA
"34040",3,"Süd",1000,217,1,NA
"34040",4,"West",1000,312,1,NA
"35500",1,"Ost",1000,462,1,NA
"35500",2,"West",1000,100,1,NA
"36010",1,"Nord",1000,230,1,NA
"36010",2,"Ost",1000,212,1,NA
"36010",3,"Süd",1000,205,1,NA
"36010",4,"West",1000,175,1,NA
"36020",1,"Nord",1000,388,1,NA
"36020",2,"Ost",1000,493,1,NA
"36020",3,"Süd",1000,498,1,NA
"36020",4,"West",1000,475,1,NA
"36030",1,"Nord",1000,303,1,NA
"36030",2,"Ost",1000,499,1,NA
"36030",3,"Süd",1000,206,1,NA
"36030",4,"West",1000,404,1,NA
"36041",1,"Nord",1000,480,1,NA
"36041",2,"Süd",1000,373,1,NA
"36041",3,"West",1000,368,1,NA
