"bund_nr","pk_nr","lfd_nr","bart","hoehe","grklasse"
32020,"N",1,104,58,0
32020,"N",2,104,400,1
32020,"N",3,121,129,0
32020,"N",4,104,220,1
32020,"O",1,104,64,0
32020,"O",2,104,150,1
32020,"O",3,104,28,0
32020,"O",4,104,43,0
32020,"O",5,104,40,0
32020,"O",6,104,520,1
32020,"O",7,104,670,2
32020,"O",8,104,150,1
32020,"O",9,104,178,1
32020,"O",10,104,510,2
32020,"S",1,104,100,0
32020,"S",2,104,103,0
32020,"S",3,104,86,0
32020,"S",4,104,54,0
32020,"S",5,104,73,0
32020,"S",6,104,56,0
32020,"S",7,104,160,1
32020,"S",8,104,660,2
32020,"S",9,104,920,1
32020,"S",10,104,69,1
32020,"W",1,104,680,1
32020,"W",2,104,330,1
34010,"N",1,121,83,0
34010,"N",2,121,87,0
34010,"N",3,121,65,0
34010,"N",4,121,76,0
34010,"N",5,121,94,0
34010,"O",1,207,300,1
34010,"O",2,207,360,1
34010,"S",1,207,24,0
34010,"S",2,108,23,0
34010,"S",3,207,20,0
34010,"W",1,121,23,0
34010,"N",1,121,113,0
34010,"N",2,121,73,0
34010,"N",3,121,69,0
34010,"N",4,121,91,0
34010,"N",5,207,55,0
34010,"N",6,121,53,0
34010,"N",7,207,30,0
34010,"N",8,207,60,0
34010,"N",9,207,33,0
34010,"N",10,207,21,0
34010,"O",1,207,29,0
34010,"O",2,121,58,0
34010,"O",3,207,67,0
34010,"O",4,207,37,0
34010,"O",5,207,315,1
34010,"O",6,121,47,0
34010,"S",1,121,21,0
34010,"S",2,121,20,0
34010,"W",1,121,37,0
32010,"S",1,104,52,0
32010,"S",2,104,59,0
32010,"N",1,104,47,0
32010,"N",2,104,77,0
32010,"N",3,104,70,0
32010,"N",4,104,160,1
32010,"N",5,NA,126,0
32010,"E",1,104,51,0
32010,"E",2,104,22,0
32010,"E",3,104,95,0
32010,"E",4,104,180,1
32010,"E",5,104,310,1
32010,"W",1,104,102,1
32050,"N",1,108,430,2
32050,"N",2,108,460,3
32050,"N",3,108,160,1
32050,"N",4,108,156,1
32050,"N",5,108,225,1
32050,"N",6,108,480,2
32050,"E",1,108,230,1
32050,"E",2,108,430,1
32050,"E",3,108,230,1
32050,"E",4,108,315,1
32050,"E",5,108,188,1
32050,"E",6,108,315,1
32050,"E",7,108,350,1
32050,"E",8,108,185,1
32050,"E",9,108,380,1
32050,"E",10,108,670,3
32050,"S",1,108,375,1
32050,"S",2,108,330,1
32050,"S",3,108,420,1
32050,"S",4,108,500,2
32050,"S",5,108,250,1
32050,"S",6,108,740,3
32050,"S",7,108,730,3
32050,"S",8,108,138,1
32050,"S",9,108,305,1
32050,"S",10,108,290,1
32050,"W",1,108,67,0
32050,"W",2,108,185,1
32050,"W",3,108,220,1
32050,"W",4,108,115,0
32050,"W",5,108,110,0
32050,"W",6,108,220,1
32050,"W",7,108,220,1
32050,"W",8,108,255,1
32050,"W",9,108,225,1
32050,"W",10,108,315,1
32070,"N",1,104,173,1
32070,"N",2,104,110,0
32070,"N",3,104,150,1
32070,"N",4,104,260,1
32070,"N",5,104,255,1
32070,"N",6,104,700,3
32070,"N",7,108,960,3
32070,"N",8,108,1030,3
32070,"E",1,104,205,1
32070,"E",2,104,70,0
32070,"E",3,104,120,0
32070,"E",4,121,295,1
32070,"S",1,108,403,1
32070,"S",2,104,107,0
32070,"S",3,104,157,1
32070,"S",4,108,154,1
32070,"S",5,NA,160,1
32070,"W",1,112,125,0
