"bfhnr","rw_med","hw_med"
"32020",39.7390175607,40.1723332497
"34010_2",NA,NA
"34010",NA,NA
"34010_1",NA,NA
"32050",-24.2463406797,52.3288854844
"32070",25.9716736265,91.25703876
"32090",3.7037278553,15.8191319468
"32080",-19.585923752,40.9744013457
"33050",NA,NA
"33010",-17.2992676414,67.3012967326
"34030",27.5241970595,87.5829500856
"34040",5.4749841202,9.9054675174
"34020",32.219771148,91.0050605972
"33040",-26.3456597488,68.4333262012
"29080",39.6888811773,38.8896740203
"29090",-25.7600565985,40.8606875513
"35500",-18.6941491389,19.8648774556
"27040",29.0744320011,37.7650021475
"27011",37.1642356758,61.7661887529
"26010",30.1090159842,21.5591351096
"26020",33.0665254276,37.99767838
"26030",-23.5503046584,31.9434847243
"21030",-8.2313274861,93.9491244351
"21020",-4109.0802021197,2.4156106806
"23061",32.5747656749,58.2596627968
"23060",32.1815086119,43.9701949632
"23150",6.498784887,30.8832920573
"23170",-12.0717523152,21.2109058195
"25100",16.9175256873,20.4827482172
"25080",15.9500443821,80.1053350299
"28040",NA,NA
"36041",7.0480928905,67.263418679
"36010",-8.0633532187,55.2748272027
"23110",9.1589513077,38.4643669341
"23090",36.5908926247,54.3558112726
"36020",54.8734908267,36.136567472
"28100",35.5720458133,55.1647680114
"28130",NA,NA
"28160",2.083110467,73.2818049144
"28120",24.8062388269,14.642756862
"23070",-13.7088898004,79.0548332784
"36030",-9.5684361069,45.373293478
