"bfhnr","plot_re4","plot_ho4","plot_inventur","plot_huform","plot_bestyp","plot_bodtyp","tf_ot","tf_ut","tf_corg","tf_fbv","tf_trd","tf_sand","tf_schluff","tf_ton","tf_bodart","hori_bez","hori_nr","hori_ot","hori_ut"
10026,4383971,6003729,2,"AMO","LW","HNn",0,5,453,80,"0,16",,,,"Hnb","Aa",1,0,12
10026,4383971,6003729,2,"AMO","LW","HNn",5,10,448,90,"0,18",,,,"Hnb","nH1",2,12,27
10026,4383971,6003729,2,"AMO","LW","HNn",10,30,444,340,"0,17",,,,"Hnb","nH2",3,27,55
10026,4383971,6003729,2,"AMO","LW","HNn",30,60,333,330,"0,11",,,,"Hnb","nH3",4,55,90
10026,4383971,6003729,2,"AMO","LW","HNn",60,90,474,270,"0,09",,,,"Hnb","nH4",5,90,175
10026,4383971,6003729,2,"AMO","LW","HNn",,,,,,,,,,"nH5",6,175,200
10029,4400280,6011029,2,,"Fi","GHn",0,5,253,230,"0,46","64,8","11,5","23,7","St3","nAa",1,0,14
10029,4400280,6011029,2,,"Fi","GHn",5,10,157,275,"0,55","76,2","8,8",15,"St2","nH",2,14,35
10029,4400280,6011029,2,,"Fi","GHn",10,30,250,780,"0,39",,,,"Hnb","nHf",3,35,58
10029,4400280,6011029,2,,"Fi","GHn",30,60,247,1620,"0,54","66,9","10,9","22,2","St3","II Gr1",4,58,82
10029,4400280,6011029,2,,"Fi","GHn",60,90,"25,7",4050,"1,35",86,"8,6","5,4","mS","III Gr2",5,82,200
30035,4396469,5739001,1,,"Fi","HH",,,,,,,,,,,,,
30104,4412000,5835000,1,"ROR","Ki","PP",,,,,,,,,,,,,
30113,4428000,5819000,1,"AMO","LW","HH",,,,,,,,,,,,,
30123,4362478,5872537,2,"MRA","Ki","YE-HN",0,5,"24,72","660,54","1,36",,,,"mSfs","Aeh",1,0,5
30123,4362478,5872537,2,"MRA","Ki","YE-HN",5,10,"28,33","601,39","1,24",,,,"mSfs","Bv-Go",2,5,20
30123,4362478,5872537,2,"MRA","Ki","YE-HN",10,30,"45,94","2022,04","1,03",,,,"mSfs","H",3,20,60
30123,4362478,5872537,2,"MRA","Ki","YE-HN",30,60,"13,61","4491,6","1,52",,,,"Hn","Gr",4,60,80
30123,4362478,5872537,2,"MRA","Ki","YE-HN",60,90,"4,88","5182,05","1,79",,,,"Sl2",,,,
30143,4345487,5849220,1,"MUO","LW","HH",,,,,,,,,,,,,
30145,4356480,5824736,1,"ROF","Ki","HH",,,,,,,,,,,,,
30148,4369471,5848220,2,"MRR","Fi","GM",0,5,"127,12","294,87","0,6",,,,"Sl2","Aa",1,0,20
30148,4369471,5848220,2,"MRR","Fi","GM",5,10,"58,97","451,33","0,92",,,,"Sl2","Go",2,20,35
30148,4369471,5848220,2,"MRR","Fi","GM",10,30,"50,13","2626,77","1,33",,,,"Sl2","Go",3,35,75
30148,4369471,5848220,2,"MRR","Fi","GM",30,60,"6,82","4955,64","1,68",,,,"Sl2",,,,
30155,4336172,5913685,1,,"MW","PP",,,,,,,,,,,,,
30169,4347829,5905186,2,"MOF","MW","GHn",0,5,"267,37",235,"0,47",,,,"Hn","Hv",1,0,20
30169,4347829,5905186,2,"MOF","MW","GHn",5,10,"167,34","280,63","0,56",,,,"Hn","Gr",2,20,35
30169,4347829,5905186,2,"MOF","MW","GHn",10,30,"48,2",2350,"1,18",,,,"fSms","Gr",3,35,60
30169,4347829,5905186,2,"MOF","MW","GHn",30,60,"25,96",5070,"1,69",,,,"fSms","Gr",4,60,90
30169,4347829,5905186,2,"MOF","MW","GHn",60,90,"8,64",5100,"1,7",,,,"fSms",,,,
30185,4288446,5921700,1,,"Ei",,,,,,,,,,,,,,
30186,4300862,5931191,2,"MOF","NW","SSm",0,5,"206,08","352,56","0,71",,,,"Hn","H",1,0,10
30186,4300862,5931191,2,"MOF","NW","SSm",5,10,"147,36","292,81","0,59",,,,"Hn","Aa",2,10,20
30186,4300862,5931191,2,"MOF","NW","SSm",10,30,,"2163,73","1,12",,,,"fS","Al",3,20,36
30186,4300862,5931191,2,"MOF","NW","SSm",30,60,"27,35","4229,98","1,48",,,,"fS","Bh",4,36,50
