"bfhnr_2","bfhnr_1","erhebjahr_1","erhebjahr_2","bestandestyp_2","besttyp_2d","humusform_2","agghu_typ_2","eu_humusform","bodentyp_2","bodentypgr_2","bodenklasse_2","podsoligkeit_2","gruendigkeit_2","wrb"
10001,1001,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOA","MOT","-9","PP-BB","BB","B","p3","+200",NA
10002,1002,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOA","MOT","-9","BB-GG","GG","G","p2","+200",NA
10003,1003,1990,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOR","MOT","2","LL-BB","BB","B","p2","+200",NA
10004,1004,1990,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOM","MOM","-9","LL-BB","BB","B","p1","+200",NA
10005,1005,1990,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","ROR","RO","-9","PP-SS","SS","S","p3","+135",NA
10006,1006,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM","-9","BB","BB","B","p1","+200",NA
10007,1007,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","PP","PP","P",NA,"+200",NA
10008,1008,1990,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROA","RO","3","PP","PP","P","p4","+200",NA
10010,1010,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU","-9","BB-SS","SS","S","p1","+200",NA
10011,1011,1990,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","ROA","RO","-9","PP-YU","YU","Y","p1","+200",NA
10012,1012,1990,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROR","RO","-9","BB-PP","PP","P","p2","+200",NA
10013,1013,1990,2006,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT","-9","BB","BB","B","p2","+200",NA
10014,1014,1990,2006,4,"Buchen(rein)bestand (>= 70 % Buche)","MOR","MOT","-9","LL-SS","SS","S","p2","+200",NA
10015,1015,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MRA","MR","-9","BB","BB","B","p3","+210",NA
10016,1016,1990,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT","-9","GG-BB","BB","B","p3","+230",NA
10017,1017,1990,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOR","MOT","-9","GG-BB","BB","B","p2","+210",NA
10018,1018,1990,2007,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","ROR","RO","-9","GG-PP","PP","P","p3","+200",NA
