"id","kurz","lang","icode","genus","species","ba_bwi","laub_nadel","gueltig_ab","gueltig_bis"
"eta","ETa","Edeltanne",218,"abies","procera","ta","nb",2005-12-31,NA
"-9","fehlt","Merkmal vergessen, nicht rekonstruierbar oder unbekannt",-9,"-2","-2",NA,NA,NA,NA
"-2","nicht ausgeprägt","Merkmal nicht ausgeprägt/nicht vorhanden",-2,"-2","-2",NA,NA,NA,2020-04-01
"-1","nicht erhoben","Merkmal nicht erhoben",-1,"-2","-2",NA,NA,2005-12-31,NA
"ah","Ah","Ahorn",100,"acer","spp.","ah","lb",1986-12-31,NA
"sah","SAh","Spitz-Ahorn",101,"acer","platanoides","sah","lb",1986-12-31,NA
"bah","BAh","Berg-Ahorn",102,"acer","pseudoplatanus","bah","lb",1986-12-31,NA
"er","Er","Erle",103,"alnus","spp.","erl","lb",1986-12-31,NA
"ser","SEr","Schwarz-Erle",104,"alnus","glutinosa","erl","lb",1986-12-31,NA
"wer","WEr","Grau-Erle",105,"alnus","incana","erl","lb",1989-12-31,NA
"bi","Bi","Birke",106,"betula","spp.","bi","lb",1986-12-31,NA
"sbi","SBi","Sand-Birke",107,"betula","pendula","bi","lb",1986-12-31,NA
"mbi","MBi","Moor-Birke",108,"betula","pubescens","bi","lb",1986-12-31,NA
"hbu","HBu","Hainbuche",109,"carpinus","betulus","hbu","lb",1986-12-31,NA
"eka","EKa","Edel-Kastanie",110,"castanea","sativa","ka","lb",1986-12-31,NA
"rbu","RBu","Rot-Buche",111,"fagus","sylvatica","bu","lb",1986-12-31,NA
"ges","GEs","Gewoehnliche Esche",112,"fraxinus","excelsior","es","lb",1986-12-31,NA
"kir","Kir","Vogel-Kirsche",113,"prunus","avium","kir","lb",1986-12-31,NA
"pa","Pa","Pappel",114,"populus","spp.","pa","lb",1986-12-31,NA
"eis","Eis","Eiche",115,"quercus","spp.","ei","lb",NA,1899-12-31
"tei","TEi","Trauben-Eiche",116,"quercus","petraea","ei","lb",1986-12-31,NA
"sei","SEi","Stiel-Eiche",117,"quercus","robur","ei","lb",1986-12-31,NA
"rei","REi","Rot-Eiche",118,"quercus","rubra","rei","lb",1986-12-31,NA
"rob","Rob","Robinie",119,"robinia","pseudoacacia","rob","lb",1989-12-31,NA
"wei","Wei","Weide",120,"salix","spp.","slb","lb",1991-12-31,NA
"vbe","Vbe","Vogelbeere",121,"sorbus","aucuparia","vb","lb",1986-12-31,NA
"li","Li","Linde",122,"tilia","spp.","li","lb",1986-12-31,NA
"wli","WLi","Winter-Linde",123,"tilia","cordata","li","lb",1986-12-31,NA
"sli","SLi","Sommer-Linde",124,"tilia","platyphyllos","li","lb",1986-12-31,NA
"ul","Ul","Ulme",125,"ulmus","spp.","ul","lb",1986-12-31,NA
"as","As","Aspe/Zitterpappel",126,"populus","tremula","pa","lb",1986-12-31,NA
"bpa","BPa","Balsampappel",127,"populus","balsamifera","pa","lb",NA,NA
"bul","BUl","Bergulme",128,"ulmus","glabra","ul","lb",1988-12-31,NA
"bwe","BWe","Bruchweide",129,"salix","fragilis","slb","lb",2008-12-31,NA
"els","Els","Elsbeere",130,"sorbus","torminalis","vb","lb",1986-12-31,NA
"es","Es","Esche",131,"fraxinus","excelsior","es","lb",NA,2014-12-31
"fah","FAh","Feldahorn",132,"acer","campestre","fah","lb",1989-12-31,NA
"ful","FUl","Feldulme",133,"ulmus","campestris","ul","lb",NA,NA
"flu","FLu","Flatterulme",134,"ulmus","laevis (vorher effusa)","ul","lb",2014-12-31,NA
"gpa","GPa","Graupappel",135,"populus","x canescens","pa","lb",NA,NA
"ger","GEr","Gruenerle",136,"alnus","viridis","erl","lb",2005-12-31,NA
"hi","Hi","Hickory",137,"carya","spp.","slb","lb",NA,NA
"hbi","HBi","Hybridbirke",138,"betula","x hybrida","bi","lb",NA,NA
"jbi","JBi","Japanbirke",139,"betula","platyphylla var. japonica","bi","lb",NA,NA
"me","Me","Mehlbeere",140,"sorbus","aria","vb","lb",1986-12-31,NA
"mi","Mi","Mispel",141,"mespilus","germanica","slb","lb",NA,NA
"nu","Nu","Walnussbaum",142,"juglans","regia","slb","lb",2004-12-31,NA
"pl","Pl","Platane",143,"platanus","x hybrida","slb","lb",NA,NA
