"plot_ID","plot_A_ha","inv_year","compartiment","B_t_ha","C_t_ha","N_t_ha"
"150510","0.0500343869018386","2011","ag","0","0","0"
"150510","0.0500343869018386","2011","bg","0","0","0"
"150510","0.0500343869018386","2011","total","0","0","0"
"70155","0.0500343869018386","2012","ag","0","0","0"
"70155","0.0500343869018386","2012","bg","0","0","0"
"70155","0.0500343869018386","2012","total","0","0","0"
"70057","0.0500343869018386","2012","ag","0","0","0"
"70057","0.0500343869018386","2012","bg","0","0","0"
"70057","0.0500343869018386","2012","total","0","0","0"
"120157","0.0500343869018386","2011","ag","0","0","0"
"120157","0.0500343869018386","2011","bg","0","0","0"
"120157","0.0500343869018386","2011","total","0","0","0"
"140010","0.0500343869018386","2012","ag","0","0","0"
"140010","0.0500343869018386","2012","bg","0","0","0"
"140010","0.0500343869018386","2012","total","0","0","0"
"70046","0.0500343869018386","2012","ag","0","0","0"
"70046","0.0500343869018386","2012","bg","0","0","0"
"70046","0.0500343869018386","2012","total","0","0","0"
"50145","0.0500343869018386","2011","ag","0","0","0"
"50145","0.0500343869018386","2011","bg","0","0","0"
"50145","0.0500343869018386","2011","total","0","0","0"
"140065","0.0500343869018386","2012","ag","0","0","0"
"140065","0.0500343869018386","2012","bg","0","0","0"
"140065","0.0500343869018386","2012","total","0","0","0"
"160097","0.0500343869018386","2012","ag","0","0","0"
"160097","0.0500343869018386","2012","bg","0","0","0"
"160097","0.0500343869018386","2012","total","0","0","0"
