"plot_ID","CCS_r_m","plot_A_ha","inv_year","compartiment","B_CCS_t_ha","C_CCS_t_ha","N_CCS_t_ha","BA_CCS_m2_ha","n_trees_CCS_ha"
"10012","17.84","0.0999860870850348","2012","ag","0","0","0","0","0"
"10012","17.84","0.0999860870850348","2012","bg","0","0","0","0","0"
"10012","17.84","0.0999860870850348","2012","total","0","0","0","0","0"
"10029","17.84","0.0999860870850348","2012","ag","0","0","0","0","0"
"10029","17.84","0.0999860870850348","2012","bg","0","0","0","0","0"
"10029","17.84","0.0999860870850348","2012","total","0","0","0","0","0"
"30009","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30009","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30009","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30019","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30019","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30019","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30022","5.64","0.00999328056736299","2011","ag","0","0","0","0","0"
"30022","5.64","0.00999328056736299","2011","bg","0","0","0","0","0"
"30022","5.64","0.00999328056736299","2011","total","0","0","0","0","0"
"30037","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30037","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30037","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30081","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30081","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30081","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30167","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30167","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30167","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30503","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30503","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30503","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30523","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30523","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30523","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30602","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30602","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30602","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30609","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30609","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30609","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30611","5.64","0.00999328056736299","2011","ag","0","0","0","0","0"
"30611","5.64","0.00999328056736299","2011","bg","0","0","0","0","0"
"30611","5.64","0.00999328056736299","2011","total","0","0","0","0","0"
"30611","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30611","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30611","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30612","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30612","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30612","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30615","5.64","0.00999328056736299","2011","ag","0","0","0","0","0"
"30615","5.64","0.00999328056736299","2011","bg","0","0","0","0","0"
"30615","5.64","0.00999328056736299","2011","total","0","0","0","0","0"
"30619","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30619","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30619","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30630","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30630","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30630","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30631","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30631","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30631","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30647","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30647","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30647","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"30650","5.64","0.00999328056736299","2011","ag","0","0","0","0","0"
"30650","5.64","0.00999328056736299","2011","bg","0","0","0","0","0"
"30650","5.64","0.00999328056736299","2011","total","0","0","0","0","0"
"30650","12.62","0.0500343869018386","2011","ag","0","0","0","0","0"
"30650","12.62","0.0500343869018386","2011","bg","0","0","0","0","0"
"30650","12.62","0.0500343869018386","2011","total","0","0","0","0","0"
"30652","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"30652","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"30652","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"40005","17.84","0.0999860870850348","2011","ag","0","0","0","0","0"
"40005","17.84","0.0999860870850348","2011","bg","0","0","0","0","0"
"40005","17.84","0.0999860870850348","2011","total","0","0","0","0","0"
"50003","17.84","0.0999860870850348","2012","ag","0","0","0","0","0"
