"plot_ID","CCS_nr","tree_ID","SP_code","H_cm","D_class_cm","inv_year","inv","rem_reason"
10009,1,1,"rbu",900,1,2012,"HBI","whole plot excluded during inventory status sorting"
10009,1,2,"rbu",830,2,2012,"HBI","whole plot excluded during inventory status sorting"
10009,1,3,"rbu",940,3,2012,"HBI","whole plot excluded during inventory status sorting"
10009,1,4,"rbu",860,2,2012,"HBI","whole plot excluded during inventory status sorting"
10009,1,5,"rbu",1180,3,2012,"HBI","whole plot excluded during inventory status sorting"
10009,1,6,"kta",580,3,2012,"HBI","whole plot excluded during inventory status sorting"
10009,3,1,"rbu",420,3,2012,"HBI","whole plot excluded during inventory status sorting"
10009,3,2,"rbu",640,3,2012,"HBI","whole plot excluded during inventory status sorting"
10009,3,3,"rbu",710,2,2012,"HBI","whole plot excluded during inventory status sorting"
10009,3,4,"rbu",330,1,2012,"HBI","whole plot excluded during inventory status sorting"
10009,3,5,"rbu",880,3,2012,"HBI","whole plot excluded during inventory status sorting"
10009,4,1,"rbu",500,2,2012,"HBI","whole plot excluded during inventory status sorting"
10009,4,2,"rbu",560,3,2012,"HBI","whole plot excluded during inventory status sorting"
10009,4,3,"kta",380,1,2012,"HBI","whole plot excluded during inventory status sorting"
10009,4,4,"kta",260,1,2012,"HBI","whole plot excluded during inventory status sorting"
10009,4,5,"vbe",40,0,2012,"HBI","whole plot excluded during inventory status sorting"
10009,4,6,"vbe",50,0,2012,"HBI","whole plot excluded during inventory status sorting"
10009,4,7,"hbu",30,0,2012,"HBI","whole plot excluded during inventory status sorting"
10009,4,8,"sbi",30,0,2012,"HBI","whole plot excluded during inventory status sorting"
130002,1,1,"rbu",160,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,1,2,"rbu",100,0,2012,"HBI","whole plot excluded during inventory status sorting"
130002,1,3,"rbu",280,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,1,4,"rbu",340,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,1,5,"rbu",610,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,1,6,"rbu",640,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,1,7,"rbu",680,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,1,8,"rbu",760,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,1,9,"rbu",490,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,1,10,"rbu",740,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,2,1,"rbu",140,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,2,2,"rbu",340,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,2,3,"rbu",310,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,2,4,"rbu",610,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,2,5,"rbu",620,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,2,6,"rbu",620,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,2,7,"rbu",750,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,2,8,"rbu",570,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,2,9,"rbu",670,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,2,10,"rbu",770,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,3,1,"rbu",540,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,3,2,"rbu",550,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,3,3,"rbu",620,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,3,4,"rbu",710,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,3,5,"rbu",540,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,3,6,"rbu",590,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,3,7,"rbu",690,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,3,8,"rbu",700,1,2012,"HBI","whole plot excluded during inventory status sorting"
130002,3,9,"rbu",470,1,2012,"HBI","whole plot excluded during inventory status sorting"
