"plot_ID","CCS_nr","tree_ID","SP_code","H_cm","D_class_cm","inv_year","inv","stand","area_m2"
10001,1,1,"rbu",650,2,2012,"HBI","A","29.8024045490142"
10001,1,2,"rbu",620,1,2012,"HBI","A","29.8024045490142"
10001,2,1,"rbu",410,1,2012,"HBI","A","29.6091966008184"
10001,2,2,"rbu",430,2,2012,"HBI","A","29.6091966008184"
10001,2,3,"rbu",510,1,2012,"HBI","A","29.6091966008184"
10001,2,4,"rbu",870,3,2012,"HBI","A","29.6091966008184"
10002,1,1,"sbi",850,2,2012,"HBI","A","70.2865382794991"
10002,1,2,"sbi",420,1,2012,"HBI","A","70.2865382794991"
10002,1,3,"sbi",260,1,2012,"HBI","A","70.2865382794991"
10002,1,4,"sbi",290,1,2012,"HBI","A","70.2865382794991"
10002,1,5,"sbi",360,1,2012,"HBI","A","70.2865382794991"
10002,1,6,"swe",70,0,2012,"HBI","A","70.2865382794991"
10002,1,7,"swe",130,1,2012,"HBI","A","70.2865382794991"
10002,1,8,"sei",80,0,2012,"HBI","A","70.2865382794991"
10002,1,9,"sei",60,0,2012,"HBI","A","70.2865382794991"
10002,1,10,"swe",150,1,2012,"HBI","A","70.2865382794991"
10002,2,1,"sbi",190,1,2012,"HBI","A","40.4891602787306"
10002,2,2,"sbi",340,1,2012,"HBI","A","40.4891602787306"
10002,2,3,"gfi",90,0,2012,"HBI","A","40.4891602787306"
10002,2,4,"jla",260,1,2012,"HBI","A","40.4891602787306"
10002,2,5,"sei",190,1,2012,"HBI","A","40.4891602787306"
10002,2,6,"sei",100,0,2012,"HBI","A","40.4891602787306"
10002,2,7,"sei",90,0,2012,"HBI","A","40.4891602787306"
10002,2,8,"sbi",150,1,2012,"HBI","A","40.4891602787306"
10002,2,9,"vbe",110,0,2012,"HBI","A","40.4891602787306"
10002,2,10,"sbi",150,1,2012,"HBI","A","40.4891602787306"
10002,3,1,"sei",140,1,2012,"HBI","A","47.5388941933861"
10002,3,2,"sei",110,0,2012,"HBI","A","47.5388941933861"
10002,3,3,"sei",50,0,2012,"HBI","A","47.5388941933861"
10002,3,4,"sei",340,1,2012,"HBI","A","47.5388941933861"
10002,3,5,"fah",60,0,2012,"HBI","A","47.5388941933861"
10002,3,6,"stk",190,1,2012,"HBI","A","47.5388941933861"
10002,3,7,"sbi",740,3,2012,"HBI","A","47.5388941933861"
10002,3,8,"sei",100,0,2012,"HBI","A","47.5388941933861"
10002,3,9,"gfi",40,0,2012,"HBI","A","47.5388941933861"
10002,3,10,"as",210,1,2012,"HBI","A","47.5388941933861"
10002,4,1,"sei",110,0,2012,"HBI","A","45.6036731187748"
10002,4,2,"sei",530,1,2012,"HBI","A","45.6036731187748"
10002,4,3,"sei",320,1,2012,"HBI","A","45.6036731187748"
10002,4,4,"as",90,0,2012,"HBI","A","45.6036731187748"
10002,4,5,"as",900,1,2012,"HBI","A","45.6036731187748"
10002,4,6,"as",1050,2,2012,"HBI","A","45.6036731187748"
10002,4,7,"as",50,0,2012,"HBI","A","45.6036731187748"
10002,4,8,"as",40,0,2012,"HBI","A","45.6036731187748"
10002,4,9,"as",100,0,2012,"HBI","A","45.6036731187748"
10002,4,10,"as",520,1,2012,"HBI","A","45.6036731187748"
10003,2,1,"rbu",110,0,2012,"HBI","A","49.4917063649648"
10003,3,1,"rbu",640,1,2012,"HBI","B","50.7461992361082"
10003,3,2,"rbu",680,1,2012,"HBI","B","50.7461992361082"
10003,3,3,"rbu",850,1,2012,"HBI","B","50.7461992361082"
10003,3,4,"rbu",760,1,2012,"HBI","B","50.7461992361082"
10003,3,5,"rbu",400,1,2012,"HBI","B","50.7461992361082"
10003,3,6,"rbu",700,3,2012,"HBI","B","50.7461992361082"
10003,3,7,"rbu",310,1,2012,"HBI","B","50.7461992361082"
10003,3,8,"rbu",440,1,2012,"HBI","B","50.7461992361082"
10003,3,9,"rbu",400,1,2012,"HBI","B","50.7461992361082"
10003,3,10,"rbu",600,1,2012,"HBI","B","50.7461992361082"
10003,4,1,"rbu",30,0,2012,"HBI","B","68.7769828809272"
10003,4,2,"rbu",20,0,2012,"HBI","B","68.7769828809272"
10003,4,3,"rbu",30,0,2012,"HBI","B","68.7769828809272"
10003,4,4,"rbu",30,0,2012,"HBI","B","68.7769828809272"
10003,4,5,"rbu",50,0,2012,"HBI","B","68.7769828809272"
10003,4,6,"rbu",120,0,2012,"HBI","B","68.7769828809272"
10003,4,7,"rbu",140,1,2012,"HBI","B","68.7769828809272"
10003,4,8,"rbu",50,0,2012,"HBI","B","68.7769828809272"
10003,4,9,"rbu",80,0,2012,"HBI","B","68.7769828809272"
10003,4,10,"rbu",60,0,2012,"HBI","B","68.7769828809272"
10004,1,1,"hbu",580,1,2012,"HBI","A","72.9867371652595"
10004,1,2,"rbu",710,1,2012,"HBI","A","72.9867371652595"
10004,1,3,"rbu",1070,3,2012,"HBI","A","72.9867371652595"
10004,1,4,"rbu",250,1,2012,"HBI","A","72.9867371652595"
10004,1,5,"rbu",360,1,2012,"HBI","A","72.9867371652595"
10004,2,1,"rbu",1070,3,2012,"HBI","A","58.3585392923493"
10004,2,2,"rbu",1380,3,2012,"HBI","A","58.3585392923493"
10004,2,3,"rbu",880,3,2012,"HBI","A","58.3585392923493"
